id,tracking_number,date,sender_id,sender_zipCode,receiver_id,receiver_address,service,quantity,actual_weight,rate,description,buy_in_store,extra_charge,agent_id
26720,ABC-018057,9/3/2021,6561,75074,15191,SAI GON,SAIGON,1,27.85,3.5,"7 VITAMINS, 8 GUMMIES, 3 SHAMPOO, SNACK ",,,ABC
26719,ABC-018056,9/3/2021,6560,75044,15190,SAI GON,SAIGON,1,19,3.5,"6 COLLAGEN, 3 GUMMIES, 5 GLUCOSAMINE, SNACK ",,,ABC
26717,ABC-018054,9/3/2021,663,75074,9701,BINH THUAN,TINH,1,35.25,4.5,"10 LON MILK POWDER, 1 SHOES, 1 SANDALS, TOYS, SNACK, 4 VITAMIN",,,ABC
26714,ABC-018051,9/3/2021,2129,75181,2679,SAI GON,SAIGON,2,75,3.5,"FOOD HOP, SNACK ",,,ABC
26713,ABC-018050,9/3/2021,9236,75048,15186,LONG AN,TINH,1,6.6,4.5,"1 SNACK HO, 2 CREAMS, 2   MEDICATED OIL, VITAMINS",,6,ABC
26712,ABC-018049,9/3/2021,9236,75048,15185,SAI GON,SAIGON,1,5,3.5,"2 CREAMS, 7 VITAMINS ",,3,ABC
26711,VNC-000079,9/2/2021,789,75040,15102,PHU YEN,TINH,1,33.5,4.5,"SUPPLEMENT ,TOOTHPASTE ,SNACK DEO ,TRA, MAT ONG",,,VNC
26709,ABC-018048,9/2/2021,314,75042,319,DONG NAI,TINH,1,27,4.5,"VITAMIN, FOOD, GIFTSET, ENTRUST",60,,ABC
26706,VNC-000075,9/2/2021,789,75040,800,SAI GON,SAIGON,3,135.5,3.5,"SUPPLEMENT ,TOOTHPASTE , EMPTY  ENSURETLE , TOOTHBRUSH ,CLOTHES , SNACK",,,VNC
26699,ABC-018047,9/2/2021,9089,75042,15175,SAI GON,SAIGON,1,10.6,3.5,"5 VITAMIN, 1 LOC MEDICATED OIL",,,ABC
26697,ABC-018046,9/2/2021,6030,75040,8777,SAI GON,SAIGON,1,30.7,3.5,"2 HOP TOYS, FOOD HOP, 1 HOP SUPPLEMENT, 2 PACK SNACK, 4 VITAMIN, SUNGLASSES, PERLIPSTICKAL STUFF",20,,ABC
26690,QUY-006747,9/2/2021,7619,22044,12170,SAI GON,SAIGON,1,15.8,4,"Vitamin, tuong ot, FOOD",,,QUY
26686,VNC-000060,9/2/2021,9221,75080,15166,SAI GON,SAIGON,1,20.8,3.5,"SNACK ,CLOTHES ,TOOTHBRUSH , THU NHOI BONG ,SACH",,,VNC
26685,VNC-000059,9/2/2021,5757,75048,15165,BRVT,TINH,1,15.6,4.5,MILK POWDER SIMILAC,,,VNC
26678,ABC-018041,9/2/2021,3757,75040,5087,SAI GON,SAIGON,1,20,3.5,"6VITAMINS, SNACK, 6 SYRUP ",,12,ABC
26677,VNC-000054,9/2/2021,9185,,15159,SAI GON,SAIGON,1,36.6,3.5,"FOOD CANNED ,SUPPLEMENT , VO , QUAN",,,VNC
26676,NEW-000775,9/2/2021,8027,68527,15158,HUE,TINH,1,16.5,6,"3 VITAMIN C, 2 BLADDER CONTROL, 6 VITAMIN, 5 PAIN RELIEF, 4 PATCH SALONPAS, 9 SNACK HO",,,NEW
26675,ABC-018040,9/2/2021,8297,75089,12967,DONG THAP,TINH,1,14.7,4.5,2 CASE MILK POWDER ,114,,ABC
26674,VNC-000053,9/2/2021,9214,,15157,SAI GON,SAIGON,1,12.2,3.5,"SUPPLEMENT ,CLOTHES , SNACK",,,VNC
26673,NEW-000774,9/2/2021,9219,68503,15156,SAI GON,SAIGON,1,5,5,"5 VITAMIN, 1 HOP VIEN XUI",,,NEW
26672,VNC-000052,9/2/2021,9218,,15155,SAI GON,SAIGON,1,16.6,3.5,"MILK POWDER , SUPPLEMENT, FOOD CANNED",,,VNC
26671,VNC-000051,9/2/2021,9217,75035,15154,SAI GON,SAIGON,2,48,3.5,"THUC PHAM ,VITAMIN , SNACK.",,,VNC
26666,ABC-018038,9/2/2021,5203,76310,15150,SAI GON,SAIGON,1,7.85,3.5,"2 MILK POWDER , 1 MEDICATED OIL , FOOD , VITAMIN 5, MEDICATED OIL BOI , ",27,,ABC
26665,ABC-018037,9/2/2021,3202,75044,4346,SAI GON,SAIGON,1,7.5,3.5,6 LON MILK POWDER ,57,,ABC
26664,ABC-018036,9/2/2021,3202,75044,4270,SAI GON,SAIGON,1,5.5,3.5,"1 DUNG    , 3 MILK POWDER , 1 HAT ",,,ABC
26663,QUY-006746,9/2/2021,9213,20902,15149,TIEN GIANG,TINH,1,45.7,5,"WATCH  , SHOES  , SNACK, VITAMIN, MILK POWDER Ensure, bengay, BACKPACK  ",,10,QUY
26662,ABC-018035,9/2/2021,2788,75025,15148,SAI GON,SAIGON,1,13,3.5,"FOOD HOP, SNACK, VITAMIN",,,ABC
26661,ABC-018034,9/2/2021,2788,75025,15147,SAI GON,SAIGON,1,22.25,3.5,"SNACK, FOOD HOP, VITAMIN",,,ABC
26660,QUY-006745,9/2/2021,1447,22151,15146,SAI GON,SAIGON,1,29.6,4,"FOOD, vitamin, cafe, SNACK, MILK POWDER",,,QUY
26659,QUY-006744,9/2/2021,9212,22003,15145,HA NOI,TINH,1,11.4,5,"MILK POWDER Ensure, vitamin",,6,QUY
26658,QUY-006743,9/2/2021,9211,22042,15144,BRVT,TINH,1,9.8,5,"VITAMIN, MEDICATED OIL, TSHIRTS nguc, MILK POWDER Ensure",,7,QUY
26657,ABC-018033,9/2/2021,98,75048,12138,THANH HOA,TINH,1,21.75,4.5,"4 VITAMIN ,1TRA XANH , 2SNACK ,  , 3 NUOC NGOT ",,,ABC
26656,QUY-006742,9/2/2021,9210,20903,15143,SAI GON,SAIGON,1,22.9,4,"VITAMIN, SNACK, bengay",,36,QUY
26655,QUY-006741,9/2/2021,9209,22044,15142,BEN TRE,TINH,1,16.05,5,"CLOTHES, vitamin, TOOTHPASTE, MEDICATED OIL",,,QUY
26654,ABC-018032,9/2/2021,7620,75024,11662,SAI GON,SAIGON,1,28.05,3.5,"2 VITAMIN , 1  TANG , GIFTSET SAMPLE , FOOD HOP , 9LOTION , 1 PACK TOOTHPASTE , DO LOT , 4 MILK POWDER , 6 SIRO  PHU NU ",,,ABC
26653,ABC-018031,9/2/2021,2530,75040,15141,SAI GON,SAIGON,1,15.9,3.5,"6 VITAMIN , 2 LOAI IT VIEN , 3 MEDICATED OIL , MILK POWDER  ENSURE , FOOD HOP , MILK POWDER ENSURE ",15,,ABC
26652,ABC-018030,9/2/2021,4990,75070,7039,KHANH HOA,TINH,1,20.85,4.5,"MILK POWDER, VITAMIN, SUPPLEMENT, SALONPAS, MEDICATED OIL",50,,ABC
26651,QUY-006740,9/2/2021,9208,22079,15140,SAI GON,SAIGON,1,32.3,4,"FOOD, vitamin, SANDALS",,,QUY
26650,NEW-000773,9/1/2021,9207,68521,15139,HUE,TINH,1,20,6,"2 PERFUME, 3 MEDICATED OIL, 3 VITAMIN, 3 DRIED FRUIT, 2 NUOC VITAMIN C, 5 ENSURE, 2 GUMS, 2 CHOCOLATE, 2 SNACK HO",,20,NEW
26649,NEW-000772,9/1/2021,6482,68502,9581,CAN THO,TINH,1,12,6,"BINH MILK POWDER, 1 BICH FOOD, 3 VITAMIN, BABY FOOD",,,NEW
26648,NEW-000771,9/1/2021,6482,68502,10757,CAN THO,TINH,1,22,6,"FOOD BABY, 3 VITAMIN, CLOTHES BABY, DO   ",,,NEW
26647,VNC-000047,9/1/2021,789,75040,800,SAI GON,SAIGON,2,73,3.5,"SNACK,TOOTHPASTE,TOOTHBRUSH,VITAMIN,THUC PHAM",,,VNC
26646,VNC-000046,9/1/2021,789,75040,15138,KHANH HOA,TINH,2,48.2,4.5,"SNACK,TAMPON,VITAMIN,TOOTHPASTE",,,VNC
26641,VNC-000041,9/1/2021,9203,76201,15133,HA NOI,TINH,5,160.5,4.5,"SUPPLEMENT , SNACK ,CLOTHES ,KHAN TAM ,SACH VO , SHAMPOO .",,,VNC
26640,VNC-000040,9/1/2021,2355,75166,15132,THANH HOA,TINH,5,72,4.5,"TA SHOES , CLOTHES ,SNACK",,,VNC
26634,ABC-018029,9/1/2021,9197,75214,15126,SOC TRANG,TINH,1,10.3,4.5,"CLOTHES,   MEDICATED OIL, SHOES, SNACK",,,ABC
26633,VNC-000034,9/1/2021,789,75040,800,SAI GON,SAIGON,6,258,3.5,"SNACK ,TOOTHPASTE ,TOOTHBRUSH DANH RANG ,VITAMIN , MILK POWDER ,SNACK ,NEN ,MEDICATED OIL HAND BAG",,,VNC
26629,QUY-006739,9/1/2021,9193,22003,15122,DONG NAI,TINH,1,39,5,"Ta, FOOD",,,QUY
26620,ABC-018028,9/1/2021,6324,75040,10338,VINH LONG,TINH,1,12.5,4.5,"1 LOC MILK POWDER, 1 LOC MEDICATED OIL, SNACK",107,,ABC
26617,VNC-000026,9/1/2021,9188,,15115,SAI GON,SAIGON,2,71.4,3.5,"CLOTHES ,SNACK ,SNACK .",,,VNC
26616,VNC-000025,9/1/2021,9187,,15114,SAI GON,SAIGON,2,68.5,3.5,"SUPPLEMENT ,FOOD CANNED ,SNACK",,,VNC
26615,VNC-000024,9/1/2021,9186,76002,15113,SAI GON,SAIGON,1,27.9,3.5,"SNACK , CLOTHES , VITAMIN.",,,VNC
26614,VNC-000023,9/1/2021,3135,,15112,SAI GON,SAIGON,19,676,3.5,"COFFEE ,SUPPLEMENT , NUOC MIST , TOOTHPASTE ,TOOTHBRUSH DANH RANG , CHI NHA KHOA, SNACK ,CLOTHES , MILK POWDER TAM ,NEN , THUC PHAM , FOOD CANNED",,,VNC
26613,QUY-006738,9/1/2021,1220,22044,15111,SAI GON,SAIGON,1,23.35,4,FOOD,,,QUY
26612,VNC-000022,9/1/2021,9173,73134,15077,CAN THO,TINH,1,16.2,4.5,"MILK POWDER ENSURE , VITAMIN , LOTION RUA MAT",,,VNC
26605,QUY-006737,9/1/2021,8649,22042,13929,DONG NAI,TINH,2,60.9,5,"CLOTHES, vitamin, FOOD, may xay toi, SHOES, SOAP, SNACK",,10,QUY
26604,VNC-000015,9/1/2021,6931,75048,15105,HAU GIANG,TINH,1,10,4.5,"SUPPLEMENT ,SNACK ,SNACK",,,VNC
26603,VNC-000014,9/1/2021,9156,,15047,HAI DUONG,TINH,1,30.5,4.5,"VITAMIN , SNACK , THUC PHAM",,,VNC
26602,VNC-000013,9/1/2021,789,75040,15104,QUANG NAM,TINH,1,12.8,4.5,"SUPPLEMENT ,XIT VIEM MUI ,KINH BOI",,,VNC
26601,VNC-000012,9/1/2021,9182,75082,15103,BINH DINH,TINH,1,13.5,4.5,MILK POWDER ENSURE,,,VNC
26600,VNC-000011,9/1/2021,789,75040,15102,PHU YEN,TINH,1,43.4,4.5,"LOTION , MIST , WATCH ,VITAMIN",,,VNC
26596,QUY-006736,9/1/2021,7718,16148,11837,SOC TRANG,TINH,1,15.7,5,"Vitamin, SNACK, MEDICATED OIL, TOOTHPASTE",,,QUY
26595,VNC-000007,9/1/2021,9161,75040,15098,SAI GON,SAIGON,2,47,3.5,"SNACK ,SNACK ,VITAMIN,SHAMPOO ,NEN, MILK POWDER TAM.",,,VNC
26594,ABC-018027,9/1/2021,851,,15097,SAI GON,SAIGON,1,7.5,3.5,1 LOC MILK POWDER,57,,ABC
26593,VNC-000006,9/1/2021,2718,,3518,QUANG NGAI,TINH,1,20.3,4.5,"MILK POWDER ENSURE, MEDICATED OIL ,BENGAY.",,,VNC
26592,VNC-000005,9/1/2021,789,75040,15096,HA NOI,TINH,1,14.1,4.5,"SNACK DEO , SHAMPOO ,VITAMIN.",,,VNC
26591,ABC-018026,9/1/2021,20,75094,1909,SAI GON,SAIGON,2,33,3.5,2 MAY LOC BUI,,,ABC
26590,NEW-000770,9/1/2021,9179,68522,15095,DONG NAI,TINH,1,16,6,"1 BICH CLOTHES, 1 TOYS, 3 SPAM, 6 VITAMIN, 1 SUNGLASSES, 1  ENSURE VITAMIN C, DO KEP TOC",,,NEW
26589,VNC-000004,9/1/2021,9173,73134,15094,LAM DONG,TINH,1,47.9,4.5,"SNACK , SHAMPOO ,CHOCOLATE .",,,VNC
26588,NEW-000769,9/1/2021,9179,68522,15093,DONG NAI,TINH,1,39,6,"1 xe TOYS, 6 vitamin, 4 cereal, 3 DRIED FRUIT, 12 LOTION chong nang, 6 ensure, 2 tra sam, 1 bich CLOTHES, 1 TOYS, 3 spam",,,NEW
26587,VNC-000003,9/1/2021,9178,,15092,CAN THO,TINH,1,43.6,4.5,"SUPPLEMENT , LOTION DUONG DA , SNACK.",,,VNC
26584,VNC-000002,9/1/2021,4021,75040,15091,LAM DONG,TINH,2,91.5,4.5,"VITAMIN, SNACK SAM ,SNACK, HAND SANITIZER,SOAP TAM.",,,VNC
26583,ABC-018025,9/1/2021,3489,75068,4677,DA NANG,TINH,1,33.15,4.5,"CLOTHES, FOOD, VITAMIN, IT GIFTSET, HAND BAG XACH",,,ABC
26582,QUY-006735,9/1/2021,9057,20109,14727,SAI GON,SAIGON,3,123.3,4,"FOOD, vitamin, MILK POWDER Ensure, SOAP, HAND SANITIZER, nuoc xuc mieng",,,QUY
26581,QUY-006734,9/1/2021,1865,22044,15090,DONG NAI,TINH,1,7.55,5,VITAMIN,17,22.65,QUY
26580,ABC-018024,9/1/2021,9004,,14590,SAI GON,SAIGON,1,17.9,3.5,"FOOD HOP, VITAMIN",50,9,ABC
26579,ABC-018023,9/1/2021,5326,75007,15089,PHU YEN,TINH,1,14.8,4.5,"3 MILK POWDER, 1 HAT NEM, 6 VITAMIN",,,ABC
26577,ABC-018022,9/1/2021,5299,90501,7632,HUE,TINH,1,15.1,4.5,"4SNACK NGAM , 6VITAMIN ,   TANG, SNACK NAM , FOOD CANNED ",,,ABC
26576,ABC-018021,9/1/2021,9177,,15088,HUE,TINH,1,28,4.5,"6 VITAMIN, FOOD HOP FOOD CANNED FOOD CANNED  ,  ENSURE PHA TANG",,,ABC
26575,ABC-018020,9/1/2021,9042,75219,14754,BINH DUONG,TINH,1,3.45,4.5,"6 VITAMIN ,1 GUMY TRE EM , 1 CHOLEST",,6,ABC
26573,ABC-018019,9/1/2021,5147,75044,15086,QUANG TRI,TINH,1,10.8,4.5,"1 MEDICATED OIL , 1 MEDICATED OIL , 2 TSHIRTS KHOAC , 6VITAMIN , 1 ,HAND SANITIZER , 1 HAT CHIA, STICK , 1 MEDICATED OIL CA, 1 COLLAGEN ",5,3,ABC
26572,QUY-006733,9/1/2021,3469,22150,4652,BAC LIEU,TINH,1,31.05,5,"HAND BAG, bop, MEDICATED OIL, vitamin, CLOTHES, TOOTHPASTE, cai men",,10,QUY
26571,ABC-018018,9/1/2021,9176,,15085,SAI GON,SAIGON,1,51.2,3.5,"FOOD HOP THIT SPAM , SHAMPOO , 7VITAMIN CHEESE ,CHEESE , EARPHONE ,2 SNACK , 2 SANDALS ",,,ABC
26570,ABC-018017,9/1/2021,663,75074,2422,QUANG NGAI,TINH,1,44.65,4.5,"MILK POWDER, CLOTHES, SOAP BABY, BABY STUFF, KHAN TAM, VITAMIN",228,,ABC
26569,ABC-018016,9/1/2021,9175,,15084,BEN TRE,TINH,1,13.55,4.5,"5 HOP SNACK , 5 VITAMIN, 1 SUPPLEMENT . 1 MILK POWDER ",17,,ABC
26568,ABC-018015,9/1/2021,98,75048,15083,QUANG NGAI,TINH,1,5.5,4.5,"MEDICATED OIL , MEDICATED OIL , VITAMIN ",,,ABC
26567,ABC-018014,9/1/2021,98,75048,15082,QUANG NGAI,TINH,1,6.7,4.5,"VITAMIN , MEDICATED OIL , MEDICATED OIL , ",,3,ABC
26566,ABC-018013,8/31/2021,5104,75098,15081,AUSTRALIA,INT,1,3.5,13,"SHOES, 1 LIPSTICK",,6,ABC
26565,ABC-018012,8/31/2021,5104,75098,7244,SAI GON,SAIGON,1,8,3.5,LAPTOP DELL (GTXH3G3),,90,ABC
